cluster_id,cluster_region,cluster_parent,xpos,ypos,zpos,depth
7,MRN,MBmot,9203.82481588784,6635.92817381597,3945.97873493548,3854.49352338082
10,MRN,MBmot,9203.50585535086,6635.87094800904,3944.95303639148,3853.56511641404
11,MRN,MBmot,9197.81670230959,6634.8502374955,3926.65812114508,3837.0055464792
17,MRN,MBmot,9202.09553613808,6635.61791778864,3940.41779708942,3849.46006255716
18,MRN,MBmot,9177.96087603487,6631.28783541445,3862.80667327426,3779.21066182316
24,MRN,MBmot,9183.61480408946,6632.30222609198,3880.98831363757,3795.66770144709
25,MRN,MBmot,9181.12449356525,6631.85543091604,3872.98008822208,3788.41908799162
26,MRN,MBmot,9185.32379626691,6632.60884225619,3886.48401164682,3800.64211069137
28,MRN,MBmot,9176.20459429759,6630.97273486767,3857.15890368549,3774.09860559215
29,MRN,MBmot,9182.32725496048,6632.07122247455,3876.84787269329,3791.91999775705
30,MRN,MBmot,9173.40084085916,6630.46970382048,3848.1427230421,3765.93764546206
31,MRN,MBmot,9169.50706358274,6629.77110784766,3835.62129415037,3754.60392378999
32,MRN,MBmot,9169.24756639416,6629.72455056458,3834.78681509217,3753.84859838196
33,MRN,MBmot,9144.56114640446,6625.29547505151,3755.40136735104,3681.9931753875
36,MRN,MBmot,9149.97036832882,6626.26596216062,3772.79609305755,3697.73794233257
41,MRN,MBmot,9130.61872707854,6622.79401764881,3710.56598007152,3641.41060251348
45,MRN,MBmot,9123.74136842204,6621.56012707931,3688.45008815806,3621.39249071138
46,MRN,MBmot,9125.27470275971,6621.83522786635,3693.38091380971,3625.85560798279
49,MRN,MBmot,9101.82065343038,6617.62725621189,3617.9584666453,3557.58727923381
50,MRN,MBmot,9101.49316802098,6617.56850092829,3616.90535421083,3556.63405869286
52,MRN,MBmot,9088.00013477688,6615.14766942808,3573.51508191067,3517.35952590771
55,MRN,MBmot,9080.89797435271,6613.87344640029,3550.67628286905,3496.6870775873
56,MRN,MBmot,9072.00781127616,6612.27843166725,3522.08770758686,3470.8102421198
58,MRN,MBmot,9045.61138439389,6607.54255793645,3437.20329876251,3393.9774563226
59,MRN,MBmot,9035.13836691215,6605.66355785075,3403.52465348565,3363.49336419856
60,MRN,MBmot,9027.69443860335,6604.32801707136,3379.5868130862,3341.82612295448
71,MRN,MBmot,9022.01914536101,6603.30979319201,3361.33646754021,3325.3068951071
72,MRN,MBmot,9009.41090456134,6601.04770534728,3320.79146986426,3288.60775135703
73,MRN,MBmot,9005.3859810586,6600.32557997894,3307.84830700298,3276.89229885601
75,MRN,MBmot,8989.21239701544,6597.4238216408,3255.83804340944,3229.81541515871
76,MRN,MBmot,8973.66269305698,6594.63399577432,3205.83402453997,3184.55447591194
77,MB,BS,8967.48173347943,6593.52504855867,3185.95758057854,3166.56339153673
78,MB,BS,8967.9660536365,6593.61194210374,3187.5150349415,3167.97311517286
81,MB,BS,8948.55527969009,6590.12938839156,3125.09476576595,3111.47365623344
82,MB,BS,8949.62453980981,6590.32122802709,3128.53324300938,3114.58598026528
83,MB,BS,8943.21657407778,6589.17155285652,3107.9268031546,3095.93414300409
84,SCdg,SCm,8930.36759516909,6586.86627335969,3066.60765100099,3058.53427640067
85,SCdg,SCm,8931.78445426988,6587.12047692389,3071.16392097244,3062.65836608451
86,SCdg,SCm,8921.70933325089,6585.31286481104,3038.76481273918,3033.33244183783
87,SCdg,SCm,8927.60930754808,6586.37139949117,3057.73767723063,3050.5056548415
88,SCdg,SCm,8918.3650022854,6584.71284689054,3028.01026788412,3023.59800823996
89,SCdg,SCm,8915.40699405659,6584.18214046088,3018.49804181958,3014.98805456539
90,SCdg,SCm,8910.25774582437,6583.258296126,3001.93932748937,3000
91,SCdg,SCm,8905.41635175767,6582.38968496574,2986.37059634743,2985.90802478889
93,SCdg,SCm,8895.37290265009,6580.58775521944,2954.07333718215,2956.67428882193
94,SCdg,SCm,8886.19675054713,6578.94143021159,2924.56509161482,2929.9650174454
98,SCdg,SCm,8885.87668131386,6578.88400548965,2923.53582777656,2929.03338336667
101,SCdg,SCm,8871.20320379118,6576.25138642158,2876.34953735685,2886.3228998445
102,SCdg,SCm,8866.63425171187,6575.43165501528,2861.65691255845,2873.02392881355
103,SCdg,SCm,8866.60852695253,6575.42703964773,2861.57418806706,2872.94905106845
104,SCdg,SCm,8841.0027687464,6570.83302250342,2779.23237500574,2798.41768573628
105,SCdg,SCm,8838.93631061926,6570.46227214377,2772.58715452704,2792.40279079047
107,SCdg,SCm,8835.45106643874,6569.83697249873,2761.37946747185,2782.25819732838
109,SCdg,SCm,8834.37780628694,6569.64441520368,2757.92812711028,2779.13423029619
110,SCdg,SCm,8828.79862632406,6568.64343533836,2739.98685820346,2762.89476194223
112,SCdg,SCm,8795.8928872286,6562.73970351625,2634.17010419715,2667.11514697025
113,SCdg,SCm,8811.15814629896,6565.47849614708,2683.25941835006,2711.54814487268
114,SCdg,SCm,8810.0762776891,6565.28439437897,2679.78039530718,2708.39912097137
115,SCdg,SCm,8808.52171060688,6565.00548415221,2674.78129037754,2703.87420098244
116,SCdg,SCm,8810.75200368056,6565.40562870308,2681.95336370051,2710.36597468951
117,SCdg,SCm,8793.987588043,6562.39786723657,2628.04313118963,2661.56934166639
120,SCdg,SCm,8783.53130453951,6560.52186945146,2594.41829826613,2631.13395758045
121,SCdg,SCm,8777.6084718296,6559.45923366489,2575.37192674819,2613.89420998346
123,SCdg,SCm,8772.93681760804,6558.62107611402,2560.34903715036,2600.29630107991
124,SCiw,SCm,8765.96388513035,6557.37003831656,2537.92580336268,2580
125,SCiw,SCm,8759.75431997959,6556.25595887663,2517.95737092182,2561.92565261768
126,SCiw,SCm,8757.17469047076,6555.79313867446,2509.6619176463,2554.41705600451
127,SCiw,SCm,8739.08694945893,6552.54795485131,2451.49619659605,2501.76858441722
128,SCiw,SCm,8740.47219832988,6552.79648711546,2455.95081585229,2505.80066535956
130,SCiw,SCm,8733.44708478393,6551.53608733307,2433.35978059848,2485.35247944848
131,SCiw,SCm,8731.60820401273,6551.20616740955,2427.44639285632,2480
132,SCiw,SCm,8729.7457455027,6550.87201732281,2421.45718491206,2474.57889219646
134,SCiw,SCm,8724.31829913208,6549.89826050312,2404.0038538741,2458.7810788682
136,SCiw,SCm,8706.41083066031,6546.68541999638,2346.41784492121,2406.65733138533
137,SCiw,SCm,8686.3328822374,6543.08316621679,2281.85210691863,2348.21590985108
155,SCsg,SCs,8507.6900165011,6511.03223527797,1707.38064089996,1828.23534208218
156,SCsg,SCs,8505.24365918514,6510.59332589828,1699.51375817886,1821.11466440564
157,SCsg,SCs,8496.7652393167,6509.0721834303,1672.24924766358,1796.43630090757
158,SCsg,SCs,8505.59341169813,6510.65607619952,1700.63847613528,1822.13269840063
164,SCsg,SCs,8488.70983655814,6507.62693591686,1646.34505600718,1772.98922462642
165,SCsg,SCs,8474.10418444857,6505.00648563943,1599.37687541426,1730.47616234842
177,SCsg,SCs,8457.89275457751,6502.09793725114,1547.24490895758,1683.28911978751
181,RSPv5,RSPv,8363.84992155688,6485.22538914231,1244.82631568638,1409.55613018778
182,RSPv2/3,RSPv,8390.17707859031,6489.94883493129,1329.48796973432,1486.18729038307
184,RSPv2/3,RSPv,8376.34054926643,6487.46637561804,1284.9930986263,1445.91293437041
185,RSPv5,RSPv,8370.26065152479,6486.37556025394,1265.44164464304,1428.21601338427
186,RSPv5,RSPv,8371.26587517763,6486.55591088671,1268.6741963777,1431.14194475904
187,RSPv5,RSPv,8356.74916575005,6483.95141812175,1221.99203354821,1388.88777032461
188,RSPv5,RSPv,8353.25933469115,6483.32529552907,1210.76959622164,1378.7298257129
191,RSPv5,RSPv,8343.19905985902,6481.52034702167,1178.4182296695,1349.44711465944
192,RSPv5,RSPv,8344.58687753757,6481.76934016442,1182.8811095784,1353.48667269876
194,RSPv5,RSPv,8348.24386488781,6482.42545284221,1194.64108037624,1364.13116359887
196,RSPv5,RSPv,8342.50121442293,6481.39514417191,1176.17413058904,1347.41587728212
198,RSPv5,RSPv,8340.90173461745,6481.108175999,1171.03059740101,1342.76022862825
199,RSPv5,RSPv,8337.06121080161,6480.41913441269,1158.68041852502,1331.58151322835
200,RSPv5,RSPv,8341.23190692158,6481.16741334763,1172.0923502273,1343.72126998558
201,RSPv5,RSPv,8334.93224612549,6480.03716953811,1151.83419237679,1325.38467879844
203,RSPv5,RSPv,8329.75172876513,6479.10771510141,1135.17492423042,1310.30560834539
207,RSPv5,RSPv,8329.26848918148,6479.02101542572,1133.62094472547,1308.8990299632
208,RSPv5,RSPv,8321.74834634068,6477.67180073502,1109.43801715869,1287.00994904219
211,RSPv5,RSPv,8329.7399272184,6479.10559774532,1135.13697336223,1310.27125726765
212,RSPv5,RSPv,8308.54228153905,6475.30245523003,1066.97056470454,1248.5707029786
214,RSPv5,RSPv,8321.07635250439,6477.5512360097,1107.27705045735,1285.05395860793
218,RSPv5,RSPv,8313.98443258542,6476.27885026617,1084.47118235873,1264.4113175999
219,RSPv5,RSPv,8312.65378283124,6476.04011381734,1080.19214041721,1260.53815976722
221,RSPv5,RSPv,8316.56160453525,6476.74122954922,1092.75873272968,1271.91276093035
222,RSPv5,RSPv,8312.53451494675,6476.01871555599,1079.80860427001,1260.19100354558
223,RSPv5,RSPv,8306.61081885593,6474.95592486728,1060.75945633165,1242.94874288267
224,RSPv5,RSPv,8309.11194463856,6475.40466044593,1068.80246095498,1250.2288366001
229,RSPv5,RSPv,8299.29630744605,6473.64360321881,1037.23778881067,1221.65819886802
230,RSPv5,RSPv,8297.48852131881,6473.3192620923,1031.42439378655,1216.39622743146
231,RSPv5,RSPv,8300.66122849409,6473.88848839834,1041.62703879404,1225.63111107243
232,RSPv5,RSPv,8300.57615977687,6473.87322592721,1041.35347874734,1225.38349928174
233,RSPv5,RSPv,8292.84110689494,6472.4854534869,1016.47945340914,1202.86887395545
234,RSPv5,RSPv,8296.40227434763,6473.12437478733,1027.9312910118,1213.23445931671
235,RSPv5,RSPv,8290.69777696438,6472.10091129262,1009.58703214006,1196.63022619521
237,RSPv5,RSPv,8298.20589038862,6473.44796774433,1033.7312760654,1218.48429277167
238,RSPv5,RSPv,8288.85361036096,6471.77004301976,1003.65664646314,1191.26236113353
239,RSPv5,RSPv,8287.48434374731,6471.52437818735,999.253422210824,1187.27680017504
240,RSPv5,RSPv,8287.69537873284,6471.56224069991,999.932058757639,1187.89106535233
242,RSPv5,RSPv,8282.39975639747,6470.61213488376,982.902641355825,1172.47695576959
244,RSPv5,RSPv,8273.41215257942,6468.99963797217,954.000720643384,1146.31649692936
245,RSPv5,RSPv,8275.3146429248,6469.34097030817,960.118661112442,1151.85412646686
247,RSPv5,RSPv,8274.84327841541,6469.2564011804,958.602868922157,1150.482113181
249,RSPv5,RSPv,8277.14345045408,6469.66908295672,965.99965578909,1157.17728546064
250,RSPv6a,RSPv,8259.88763915478,6466.5731585045,910.509215834511,1106.95033394067
251,RSPv5,RSPv,8273.72532728325,6469.05582572287,955.007813372723,1147.22806291683
252,RSPv5,RSPv,8269.45393910881,6468.28948128013,941.272080818335,1134.79521910328
254,RSPv5,RSPv,8264.46213585284,6467.39388468993,925.219670761454,1120.26544384171
255,RSPv5,RSPv,8266.53915723519,6467.76653023953,931.898860067738,1126.311085537
256,RSPv6a,RSPv,8262.37042267926,6467.01860323554,918.493236272357,1114.17703835668
258,RSPv6a,RSPv,8254.58901848676,6465.62251474719,893.470156533228,1091.52749703089
259,RSPv6a,RSPv,8257.68982365882,6466.17884086754,903.441582404009,1100.55309358782
260,RSPv6a,RSPv,8257.49978613685,6466.14474558214,902.83046852943,1099.99994628935
261,RSPv6a,RSPv,8249.84379366826,6464.7711576425,878.210682012167,1077.71544422293
264,RSPv6a,RSPv,8239.57438043482,6462.92868689523,845.186777860984,1047.82398843055
265,RSPv6a,RSPv,8248.50655930304,6464.53123982595,873.910465582981,1073.82312038677
267,RSPv6a,RSPv,8241.53887791558,6463.28114414464,851.504118008395,1053.54210379563
268,RSPv6a,RSPv,8243.92845653499,6463.7098666631,859.188414422917,1060.49751420134
272,RSPv6a,RSPv,8240.20894773125,6463.04253679631,847.227390026312,1049.67104043416
273,RSPv6a,RSPv,8234.71896858759,6462.05756075675,829.572968988702,1033.6912112907
279,RSPv6a,RSPv,8227.04753501666,6460.68120247583,804.903527688646,1011.36176439468
280,RSPv6a,RSPv,8229.7891837278,6461.17309110031,813.71999482214,1019.34195463383
283,RSPv6a,RSPv,8219.87039818713,6459.39352767329,781.823622990048,990.471080245647
285,RSPv6a,RSPv,8222.77600317191,6459.91483225671,791.167333125917,998.928502396113
286,RSPv6a,RSPv,8218.22204711531,6459.09779133841,776.522931843837,985.673180689596
289,RSPv6a,RSPv,8214.99075119638,6458.51805342437,766.13187986405,976.267761225316
291,RSPv6a,RSPv,8208.28665831321,6457.31524906316,744.573168011505,956.753978744276
