cluster_id,cluster_region,cluster_parent,xpos,ypos,zpos,depth
0,INC,PAG,168305.765283709,30246.8103116265,567786.1612254,3739.12038798209
1,INC,PAG,42209.4441218065,10570.9624977474,122254.166123655,3865.40112346732
2,INC,PAG,77752.6680656307,16117.0645464771,247837.873325611,3829.80591799436
3,INC,PAG,34829.9617054787,9419.48106172327,96180.4829783443,3872.79139828619
4,INC,PAG,27631.8870875192,8296.30617897573,70747.762056113,3880
5,INC,PAG,47602.6800477255,11412.5135305208,141309.909701169,3860
6,INC,PAG,41250.1781866828,10421.2803311416,118864.823262811,3866.36179231711
7,INC,PAG,67573.4730079319,14528.7208820659,211872.057346226,3840
8,INC,PAG,67573.4730079319,14528.7208820659,211872.057346226,3840
9,INC,PAG,67573.4730079319,14528.7208820659,211872.057346226,3840
10,INC,PAG,104039.801446467,20218.8625299439,340717.339377853,3803.48034000333
11,INC,PAG,87544.2659681382,17644.9282336109,282434.204991282,3820
12,INC,PAG,96884.5509988885,19102.3698553005,315435.927692027,3810.64605491694
13,INC,PAG,85686.6843802246,17355.0744750804,275870.872902753,3821.86029827821
14,INC,PAG,112133.525338752,21481.7929476179,369314.628500211,3795.37477913911
15,INC,PAG,133893.251647889,24877.1423074182,446197.555662932,3773.58322949709
20,INC,PAG,185712.712058983,32962.959621128,629289.555249562,3721.68798376063
22,INC,PAG,153383.740166232,27918.4037999933,515062.659379443,3754.06423637831
23,INC,PAG,172071.143075074,30834.3532288344,581090.2470563,3735.34950337189
28,INC,PAG,189201.724526545,33507.3789800745,641617.168547749,3718.19386865512
29,INC,PAG,187398.23076917,33225.9649913362,635244.943216565,3720
30,INC,PAG,226484.82510256,39324.9683134012,773348.324779367,3680.85624200173
31,INC,PAG,207369.023729376,36342.1723428813,705807.090861621,3700
33,INC,PAG,244185.910050515,42087.0144251932,835890.987560165,3663.12926943412
36,INC,PAG,247310.609649789,42574.5870459714,846931.386151734,3660
39,INC,PAG,267281.402609995,45690.7943975165,917493.533796791,3640
43,INC,PAG,286440.372963449,48680.3263796681,985187.295256409,3620.81300988736
44,INC,PAG,282313.549268052,48036.3840803438,970606.124469655,3624.9458690118
46,INC,PAG,315278.201415876,53180.1303286206,1087079.04853219,3591.93300646447
48,INC,PAG,316740.568155313,53408.3154584334,1092245.98096121,3590.46850103161
50,INC,PAG,315806.849408013,53262.6196300099,1088946.90314106,3591.40358533113
51,INC,PAG,311119.123839966,52531.1551906017,1072383.91616747,3596.09816664033
55,INC,PAG,284489.691216067,48375.9454362661,978295.015428487,3622.76654448287
57,MRN,MBmot,347164.574450821,58155.6238036967,1199742.12437702,3560
59,MRN,MBmot,366208.31755832,61127.1759293822,1267028.75718842,3540.92840565175
60,INC,PAG,307024.505710919,51892.238191115,1057916.53625183,3600.19877309818
61,MRN,MBmot,387106.160371233,64388.0385067869,1340866.41966713,3520
63,MRN,MBmot,407076.95333144,67504.2458583319,1411428.56731219,3500
64,PAG,MBmot,430423.600603562,71147.215569564,1493918.51025612,3476.61920854255
65,PAG,MBmot,423294.506053461,70034.8042150849,1468729.51434484,3483.75872930601
66,MRN,MBmot,407073.76382175,67503.7481728588,1411417.29792223,3500.00319417431
67,PAG,MBmot,436407.976267359,72081.0070056421,1515062.90847775,3470.62608080274
68,PAG,MBmot,477622.867153148,78512.1059723853,1660686.13043257,3429.35091364446
69,PAG,MBmot,499857.282457255,81981.5249667149,1739246.26064954,3407.08398078064
70,PAG,MBmot,490940.778499327,80590.2093970656,1707741.8697117,3416.01352501626
72,PAG,MBmot,481466.915580323,79111.9245170133,1674268.18064027,3425.5012433436
75,PAG,MBmot,531902.149374224,86981.749547928,1852469.3377285,3374.99224863879
76,PAG,MBmot,506930.918132471,83085.2826160572,1764239.30553747,3400
77,PAG,MBmot,537811.049481537,87903.7639111356,1873347.0606423,3369.07470683753
78,PAG,MBmot,494493.144903885,81144.5143927322,1720293.32939721,3412.4559633194
79,PAG,MBmot,534420.544470288,87374.7154821344,1861367.50050807,3372.47017042078
80,PAG,MBmot,549601.568178035,89743.535677523,1915006.11357685,3357.26694465203
81,PAG,MBmot,544397.302539795,88931.4712355356,1896618.05251782,3362.47882146495
83,PAG,MBmot,562151.908401241,91701.8686563825,1959349.81898655,3344.69824971016
84,PAG,MBmot,548541.488670067,89578.122738611,1911260.56942616,3358.32857451328
85,PAG,MBmot,583142.870541771,94977.2614096228,2033516.49693085,3323.67658854492
86,PAG,MBmot,593007.627622821,96516.540726094,2068371.31952215,3313.79740437762
87,PAG,MBmot,632247.271754494,102639.42566906,2207015.46691658,3274.50037274762
88,PAG,MBmot,646665.403646676,104889.205569512,2257958.57935931,3260.06115451436
89,PAG,MBmot,646726.468853916,104898.734076873,2258174.33905286,3260
90,PAG,MBmot,648857.376444326,105231.237143322,2265703.40493984,3257.86597598337
91,PAG,MBmot,653225.164714261,105912.779130357,2281135.96795322,3253.49179987666
92,PAG,MBmot,634088.431390302,102926.716975114,2213520.77586045,3272.65652043842
93,PAG,MBmot,639117.362451916,103711.422518646,2231289.33301156,3267.6202346268
94,PAG,MBmot,666697.261814122,108014.941428418,2328736.48669792,3240
95,PAG,MBmot,697982.682170343,112896.663306187,2439276.23615665,3208.66882510017
96,PAG,MBmot,686668.054774328,111131.148779963,2399298.63434298,3220
97,PAG,MBmot,701871.51354758,113503.46970345,2453016.51649274,3204.77430635474
98,PAG,MBmot,689743.01170165,111610.95964184,2410163.2787835,3216.92054598588
99,PAG,MBmot,744570.468017879,120166.139337488,2603883.33162754,3162.01290518716
100,PAG,MBmot,730033.809728327,117897.864786795,2552521.43375313,3176.57082316119
101,PAG,MBmot,743650.282028431,120022.555136759,2600632.06865677,3162.93443693734
103,PAG,MBmot,766551.226615154,123595.978186143,2681547.2249232,3140
104,PAG,MBmot,775879.653662834,125051.569509044,2714507.05020136,3130.65793024216
105,PAG,MBmot,804573.017759856,129528.831494478,2815888.37230919,3101.92260245203
106,PAG,MBmot,787908.606033759,126928.546045948,2757008.55301618,3118.61138567591
107,PAG,MBmot,839014.240872321,134902.979274845,2937578.4161237,3067.43100947313
108,PAG,MBmot,871235.2026197,139930.681383174,3051423.68329033,3035.16292496433
109,PAG,MBmot,906346.777336598,145409.429646958,3175482.2584386,3000
111,PAG,MBmot,906346.777336598,145409.429646958,3175482.2584386,3000
114,PAG,MBmot,925170.037955896,148346.578073603,3241989.86770714,2981.14921059288
115,PAG,MBmot,971551.267571644,155583.82343438,3405867.14482012,2934.70014899762
116,PAG,MBmot,911458.843440386,146207.107436015,3193544.55390706,2994.88045756223
117,PAG,MBmot,922145.80549189,147874.682167622,3231304.44634889,2984.17786595978
118,PAG,MBmot,936190.464957984,150066.186088642,3280927.98091989,2970.11266635145
120,PAG,MBmot,989847.735621919,158438.772076589,3470513.45518541,2916.3769225872
121,PAG,MBmot,1002093.79705693,160349.625929377,3513782.06233434,2904.11295143751
122,PAG,MBmot,996722.769832302,159511.540303229,3494804.78803256,2909.49183372359
125,SCdw,SCm,1038698.10660788,166061.29790696,3643114.86850415,2867.45510853274
126,SCdw,SCm,1057432.46888202,168984.574792435,3709308.37616595,2848.69334748352
127,SCdw,SCm,1043892.53665334,166871.827620376,3661468.17778584,2862.25308169704
128,SCdw,SCm,1061112.29256859,169558.767997849,3722310.17648489,2845.00814209994
129,SCdw,SCm,1065029.66722197,170170.028237636,3736151.30784222,2841.08503833417
130,SCdw,SCm,1070378.82413411,171004.701258752,3755051.30848633,2835.72805834565
131,SCdw,SCm,1071377.7964407,171160.579137612,3758580.94456695,2834.72762505431
