cluster_id,cluster_region,cluster_parent,xpos,ypos,zpos,depth
0,MRN,MBmot,9048.98407443924,6536.8780908622,3551.87782972886,3666.29219165288
6,MRN,MBmot,9037.68553447345,6535.02566586692,3512.52437086811,3627.75280684574
7,MRN,MBmot,9035.41265444613,6534.65302127862,3504.60780014998,3620
8,MRN,MBmot,9038.62845587134,6535.180260281,3515.8086198554,3630.96911715715
10,MRN,MBmot,9030.12985289418,6533.78689223278,3486.20750115795,3601.98033352216
12,MRN,MBmot,9017.87783735267,6531.77814243853,3443.53303250678,3560.1886380423
13,MRN,MBmot,9017.62066529243,6531.73597841079,3442.63728755887,3559.31142266566
14,MRN,MBmot,9018.06591911325,6531.80897893205,3444.1881320019,3560.83018600937
15,MRN,MBmot,9013.90130373061,6531.12617941513,3429.68253918834,3546.62465898631
16,MRN,MBmot,9013.40326407896,6531.04452451971,3427.94783868706,3544.92584287003
17,MRN,MBmot,9013.35225628238,6531.03616165887,3427.7701756235,3544.75185498253
18,MRN,MBmot,9022.26173631917,6532.496894069,3458.80240254487,3575.14214263113
19,MRN,MBmot,9019.20448671789,6531.99565005027,3448.15382788166,3564.71384665732
20,MRN,MBmot,9006.27456997,6529.87575659118,3403.11819067971,3520.60982626354
21,MRN,MBmot,9006.09578801889,6529.8464448256,3402.49548295113,3520
22,MRN,MBmot,9000.23241473344,6528.88512953499,3382.07301951136,3500
23,MRN,MBmot,8990.37643849627,6527.26921661262,3347.74409236179,3466.38120836811
26,MRN,MBmot,8986.24876312847,6526.59247350715,3333.36716372596,3452.30168394813
27,MRN,MBmot,8983.92278511189,6526.21112336551,3325.26564968402,3444.36775955567
28,MRN,MBmot,8979.86272396577,6525.54546578743,3311.12422523716,3430.51886763471
29,MRN,MBmot,8986.60744578861,6526.6512804616,3334.61647588071,3453.52515256486
30,MRN,MBmot,8986.91345403657,6526.70145130924,3335.68232005468,3454.56894845864
31,MRN,MBmot,8986.90051880062,6526.69933054369,3335.63726589041,3454.52482629443
32,MRN,MBmot,8977.34810252198,6525.13318706555,3302.36565538317,3421.94147942703
33,MRN,MBmot,8976.77892159165,6525.03986837257,3300.38316575228,3420
34,MRN,MBmot,8975.5193282375,6524.83335476815,3295.99593028703,3415.70351982444
