cluster_id,cluster_region,cluster_parent,xpos,ypos,zpos,depth
0,MRN,MBmot,9388.22169640237,6666.79288543974,4335.47376185543,3472.61759121948
1,MRN,MBmot,9386.15558009006,6666.70623100668,4324.9007857852,3463.4633312495
3,MRN,MBmot,9386.44540139619,6666.71838632476,4326.38389383492,3464.7474310678
6,MRN,MBmot,9384.64937977799,6666.64305986121,4317.19307844969,3456.78986899506
7,SCiw,SCm,9088.37772421692,6654.2172093936,2801.07653367029,2144.11074218156
9,MRN,MBmot,9384.81298989731,6666.64992178957,4318.03032360677,3457.51476989105
10,MRN,MBmot,9384.21670585075,6666.62491319945,4314.97894798099,3454.87283770858
11,MRN,MBmot,9381.90789440654,6666.52807995461,4303.16402352353,3444.64327799987
12,MRN,MBmot,9380.57041225753,6666.4719849726,4296.31970083387,3438.71734864909
13,MRN,MBmot,9384.10624448861,6666.62028036893,4314.41368196397,3454.38342091262
15,MRN,MBmot,9376.3023099525,6666.29297763246,4274.47846020893,3419.80683628064
17,MRN,MBmot,9371.46863485537,6666.09024975472,4249.7430032413,3398.39046287227
18,MRN,MBmot,9367.56587013318,6665.92656494067,4229.77131153668,3381.09863730775
20,MRN,MBmot,9359.06064410017,6665.56984952461,4186.24735754481,3343.41486812902
22,MRN,MBmot,9364.12096856861,6665.78208324317,4212.14265162559,3365.83544795818
23,MRN,MBmot,9356.84446243542,6665.47690124064,4174.90644920914,3333.5957195269
25,MRN,MBmot,9354.70147530029,6665.3870227889,4163.94010062388,3324.10087103731
26,MRN,MBmot,9352.53683676728,6665.29623626166,4152.86295493087,3314.51009255398
27,MRN,MBmot,9352.79963250188,6665.30725810746,4154.20776451234,3315.67445123948
30,MRN,MBmot,9347.85959401295,6665.10006927108,4128.92801214884,3293.78681775058
31,MRN,MBmot,9337.52951627665,6664.66681823656,4076.06571003222,3248.0177501794
33,MRN,MBmot,9342.0943108137,6664.85826906646,4099.42521942585,3268.24280510622
35,MRN,MBmot,9341.82363026111,6664.84691652562,4098.04006071616,3267.04351146893
36,MRN,MBmot,9338.79477497109,6664.71988411393,4082.54044227223,3253.62368192154
37,MRN,MBmot,9341.38259505866,6664.82841918585,4095.78314293576,3265.08943421051
38,MRN,MBmot,9341.46589813025,6664.83191297775,4096.20943131903,3265.45852184078
39,MRN,MBmot,9334.6259895393,6664.54504219627,4061.20743776053,3235.15320890207
41,MRN,MBmot,9335.71991020385,6664.59092203102,4066.80537866061,3240
42,MRN,MBmot,9339.90879758913,6664.76660703935,4088.24125127901,3258.55953795116
43,MRN,MBmot,9334.20497661964,6664.52738460572,4059.05298038642,3233.28784358148
45,MRN,MBmot,9337.52161691967,6664.66648693174,4076.02528650337,3247.98275081029
46,MRN,MBmot,9333.41954880575,6664.49444318731,4055.03369578388,3229.80787957697
49,MRN,MBmot,9331.2047478377,6664.40155281076,4043.69985291357,3219.99484837321
50,MRN,MBmot,9327.05831684615,6664.22764845472,4022.48124320161,3201.62342028953
51,MRN,MBmot,9322.6379805104,6664.0422563077,3999.86097249285,3182.03841061169
53,MRN,MBmot,9319.04175029876,6663.89142777578,3981.45791563484,3166.10473540033
54,MRN,MBmot,9307.18764621275,6663.39425795871,3920.79668466324,3113.58322445355
55,MRN,MBmot,9311.73059906653,6663.5847927324,3944.04442319808,3133.71150629664
56,MRN,MBmot,9308.63591233939,6663.45499930196,3928.20792429629,3120
57,MRN,MBmot,9313.19753673356,6663.64631717374,3951.5512110578,3140.21100909991
58,MRN,MBmot,9300.15073121389,6663.09912458402,3884.78654648859,3082.40504300153
59,MRN,MBmot,9302.45609412558,6663.19581319489,3896.58382370541,3092.61932343339
60,MRN,MBmot,9299.60791305124,6663.07635839227,3882.00877284152,3080
62,MRN,MBmot,9296.22490411317,6662.93447251691,3864.69683723826,3065.01103586701
65,MB,BS,9283.65115189401,6662.40712012947,3800.35293726804,3009.30100834998
68,MRN,MBmot,9287.32277992551,6662.56111090123,3819.1418288152,3025.56874570489
