cluster_id,cluster_region,cluster_parent,xpos,ypos,zpos,depth
0,MRN,MBmot,8463.75708529234,5205.39522225991,3447.16327436077,3672.72109170652
1,MRN,MBmot,8460.99256357667,5205.21107468717,3433.01563749564,3657.95997675683
2,MRN,MBmot,8457.62894599585,5204.98702073612,3415.80208485224,3640
3,MRN,MBmot,8454.02619463919,5204.74703784368,3397.36474807152,3620.76317266404
4,MRN,MBmot,8448.61129659134,5204.38634603702,3369.6536214747,3591.85042002694
5,MRN,MBmot,8445.55430610651,5204.18271682532,3354.00925484363,3575.52767324188
6,MRN,MBmot,8447.17742186008,5204.29083419861,3362.31566536717,3584.19427118514
8,MRN,MBmot,8437.66196774425,5203.65700022687,3313.61965090857,3533.38667173459
9,MRN,MBmot,8436.87917250525,5203.60485744846,3309.61364049516,3529.20695036022
11,MRN,MBmot,8428.90584737667,5203.07374624003,3268.80958101272,3486.63352144229
12,MRN,MBmot,8433.77825739882,5203.39830237353,3293.74448648319,3512.64966883271
13,MRN,MBmot,8423.56947848717,5202.71828533961,3241.50033297932,3458.14007386135
14,MRN,MBmot,8424.65206895437,5202.79039777978,3247.04056683488,3463.92054656995
15,MRN,MBmot,8419.51457521989,5202.44818415352,3220.74907657813,3436.48898937221
16,MRN,MBmot,8416.42645014639,5202.24248103554,3204.94537647105,3420
17,MRN,MBmot,8413.78980537553,5202.06685147474,3191.45215898284,3405.92168174209
18,MRN,MBmot,8412.73599528123,5201.99665612416,3186.0592107363,3400.29488132703
19,MRN,MBmot,8416.12130089236,5202.22215473673,3203.38375342024,3418.3706609393
21,MRN,MBmot,8409.78881511845,5201.80034148849,3170.97680625287,3384.55846482015
22,MRN,MBmot,8408.93508726467,5201.74347381725,3166.60779312901,3380
23,MRN,MBmot,8404.69840691802,5201.46126427702,3144.92627957161,3357.37832000107
24,MRN,MBmot,8407.17486449652,5201.62622360778,3157.59972768886,3370.60132157023
25,MRN,MBmot,8398.75863430365,5201.06561004743,3114.52906998084,3325.66300887195
26,MRN,MBmot,8393.23765769942,5200.69785224141,3086.27507881316,3296.18385165371
27,MRN,MBmot,8393.36204524906,5200.70613782123,3086.91164096166,3296.84801678151
28,MRN,MBmot,8393.95236150123,5200.74545938068,3089.93262644495,3300
31,MRN,MBmot,8379.99522791585,5199.81576067089,3018.50600081035,3225.47613134886
32,MRN,MBmot,8379.95786078267,5199.81327160855,3018.31477184371,3225.2766102002
37,MRN,MBmot,8375.39502773046,5199.50933670848,2994.96414857572,3200.91344358151
38,MB,BS,8367.73259141521,5198.99893411667,2955.75108474783,3160
39,MB,BS,8362.11258603996,5198.62457990458,2926.99030678818,3129.99208040522
41,MB,BS,8348.9152561308,5197.74549248207,2859.45203060622,3059.52517008445
42,MB,BS,8356.7431926266,5198.26691920741,2899.51205340078,3101.32229896152
43,MB,BS,8348.63952419024,5197.72712570011,2858.04095275323,3058.05290425026
44,MB,BS,8346.29811486448,5197.57116206933,2846.05862369223,3045.55099044512
45,MB,BS,8340.61394676351,5197.19253391353,2816.9694884118,3015.20047510782
47,MB,BS,8325.36266506242,5196.17663069577,2738.91996758093,2933.7665254146
49,MB,BS,8317.75326761857,5195.66976107655,2699.97833395672,2893.13628195163
53,MB,BS,8307.34159146789,5194.97622885341,2646.69583937473,2837.54332075048
