cluster_id,cluster_region,cluster_parent,xpos,ypos,zpos,depth
0,MRN,MBmot,8451.66902227469,5181.91369607939,3926.67755106696,3601.1649273574
1,MRN,MBmot,8451.86069979621,5181.90678130613,3927.78912183436,3602.16465269693
2,MRN,MBmot,8452.32981648382,5181.88985790531,3930.50960983062,3604.61140720464
3,MRN,MBmot,8450.60770466509,5181.95198314907,3920.52278852408,3595.62945246601
4,MRN,MBmot,8454.29649163785,5181.81891003073,3941.91469579411,3614.86892186019
5,MRN,MBmot,8437.38456650005,5182.42900831831,3843.83954616449,3526.662021194
6,MRN,MBmot,8434.31267247964,5182.53982700194,3826.02510675302,3510.64005749039
7,MRN,MBmot,8437.72945586903,5182.41656642233,3845.8396186691,3528.46084788358
8,MRN,MBmot,8445.34964782132,5182.1416677326,3890.03041657283,3568.20520041095
9,MRN,MBmot,8444.95918060382,5182.15575385105,3887.76603032053,3566.16865502733
10,MRN,MBmot,8436.27282499366,5182.46911443182,3837.39236681027,3520.86355225438
11,MRN,MBmot,8446.48188354157,5182.10082228961,3896.59644538234,3574.11056026163
12,MRN,MBmot,8438.02455778478,5182.40592061045,3847.55096520752,3530
13,MRN,MBmot,8434.13332120341,5182.54629710547,3824.98501799265,3509.70462169124
14,MRN,MBmot,8437.93291487841,5182.40922663149,3847.01951230188,3529.52202149236
15,RSPv5,RSPv,7962.45309591127,5199.56217763901,1089.63062776581,1049.57956558127
16,MRN,MBmot,8436.40304796677,5182.46441663353,3838.1475521288,3521.54275138514
19,MRN,MBmot,8430.35535049597,5182.68258753015,3803.07591897468,3490
21,MRN,MBmot,8431.36168361039,5182.64628402804,3808.91181701521,3495.24869429925
22,MRN,MBmot,8429.97595347098,5182.69627429102,3800.87573066424,3488.02119300885
25,MRN,MBmot,8421.51710155709,5183.00142766803,3751.82140004307,3443.90267282623
26,MRN,MBmot,8423.73453820216,5182.92143356393,3764.68069482994,3455.4680748897
27,MRN,MBmot,8420.46218397325,5183.03948385656,3745.70375234546,3438.40057831185
28,MRN,MBmot,8417.74174529586,5183.13762377647,3729.92746264635,3424.21168720512
29,MRN,MBmot,8427.6811714026,5182.77905863395,3787.56789652411,3476.05238328983
30,MRN,MBmot,8420.03836045335,5183.05477330478,3743.24592718407,3436.19005769899
31,MRN,MBmot,8415.40053159512,5183.22208314216,3716.35036351991,3412.00070574342
34,MRN,MBmot,8417.33742479532,5183.15220965259,3727.58273883365,3422.10288776696
35,MRN,MBmot,8414.320816269,5183.2610339101,3710.08890946879,3406.36927456438
36,MRN,MBmot,8393.52531171466,5184.01123246022,3589.49221783414,3297.90693277994
38,MRN,MBmot,8399.67852134076,5183.78925520893,3625.17573404329,3330
39,MRN,MBmot,8401.04043160509,5183.74012424878,3633.07368486015,3337.10326485149
40,MRN,MBmot,8395.57872286775,5183.93715558145,3601.40030070763,3308.6168331687
41,MRN,MBmot,8391.85925677656,5184.07133545006,3579.83047997677,3289.21735183445
42,MRN,MBmot,8387.15549798129,5184.2410237122,3552.55257731879,3264.68413155162
45,MRN,MBmot,8388.17471040755,5184.20425558848,3558.46316469403,3270
46,MRN,MBmot,8387.35557119115,5184.2338060642,3553.71283612042,3265.72764597142
49,MRN,MBmot,8381.71295066466,5184.43736379596,3520.99031352592,3236.29763938014
54,MRN,MBmot,8378.58615926307,5184.55016290453,3502.85751480116,3219.98934944171
57,MRN,MBmot,8372.30043755956,5184.77692053361,3466.40553836569,3187.20514389451
60,MRN,MBmot,8378.63935049162,5184.54824402911,3503.16597984323,3220.26677695956
61,MRN,MBmot,8376.67089947435,5184.61925596802,3491.75059534476,3210
62,MRN,MBmot,8371.68117271438,5184.79926053444,3462.81431549445,3183.97526721046
63,MRN,MBmot,8375.98955866009,5184.64383536159,3487.79938329986,3206.44635598649
64,MB,BS,8366.6879622194,5184.97939077672,3433.85783286826,3157.93236443339
65,MB,BS,8366.78275241642,5184.97597121707,3434.40753745134,3158.4267581482
66,MB,BS,8368.08106802717,5184.92913443625,3441.93669198302,3165.19833472375
68,MB,BS,8363.18007111895,5185.10593807018,3413.51497173583,3139.63638693093
69,MB,BS,8368.05831163386,5184.92995537393,3441.80472376173,3165.07964504721
70,MB,BS,8357.45326661291,5185.31253274193,3380.3042518294,3109.76730507989
72,MB,BS,8356.58810165,5185.34374359806,3375.28701207106,3105.25489627243
73,MB,BS,8355.74099924292,5185.37430284686,3370.37452016671,3100.83669566742
74,MB,BS,8356.42521051098,5185.34961990157,3374.34237846472,3104.40531100037
84,MB,BS,8352.76486079527,5185.48166714488,3353.11538371751,3085.31416075304
85,MB,BS,8346.65981110846,5185.70190702468,3317.71115524256,3053.47227954209
86,MB,BS,8345.99407031914,5185.72592364681,3313.85041041337,3050
87,MB,BS,8341.31949752216,5185.89455902305,3286.74176235689,3025.61900404594
90,MB,BS,8333.17539849729,5186.18835767864,3239.51273763297,2983.14212883223
91,MB,BS,8325.91984240473,5186.45010211705,3197.43652551483,2945.29959403386
94,MB,BS,8317.37436367361,5186.7583805595,3147.87983114779,2900.72925757365
95,MB,BS,8325.08064743091,5186.48037610492,3192.5698901699,2940.9226359352
99,MB,BS,8310.15302195514,5187.01889071317,3106.00203404341,2863.06517341721
103,MB,BS,8317.8904212968,5186.7397637628,3150.872537667,2903.420840178
104,MB,BS,8306.02730625779,5187.16772605046,3082.07630228611,2841.54683108021
105,MB,BS,8305.34101898733,5187.19248388761,3078.09640489468,2837.96738801851
106,MB,BS,8303.5627600715,5187.25663463985,3067.78397695825,2828.69258894809
107,MB,BS,8299.76446773624,5187.39365816796,3045.75702934096,2808.88197649637
108,MB,BS,8295.34051033259,5187.55325258517,3020.10174286217,2785.80810595379
109,MB,BS,8295.30459881761,5187.55454809432,3019.89348583781,2785.62080359708
110,MB,BS,8291.66950137752,5187.68568436091,2998.81293336081,2766.66136070712
111,SCiw,SCm,8281.68213895494,5188.04597880769,2940.89450857951,2714.57064495782
112,SCiw,SCm,8283.67291034838,5187.97416166043,2952.4393327612,2724.95383747548
113,SCiw,SCm,8282.81956833819,5188.00494600313,2947.4906563301,2720.50309320402
115,MB,BS,8285.61299474529,5187.90417304833,2963.69021437113,2735.07266370539
116,SCiw,SCm,8276.97120471991,5188.21592592407,2913.57499431776,2690
119,SCiw,SCm,8271.27877311358,5188.42128059227,2880.56360874229,2660.31019560709
120,SCiw,SCm,8267.66379937298,5188.5516908957,2859.59975704431,2641.45571115014
121,SCiw,SCm,8266.11590586586,5188.60753120781,2850.6232575574,2633.38242039747
122,SCiw,SCm,8263.6263061513,5188.6973436041,2836.18564252931,2620.39750750721
123,MB,BS,8257.34015003576,5188.92411690462,2799.73114686408,2587.61103621329
124,MB,BS,8254.21649569803,5189.0368028435,2781.61654050983,2571.31910814251
125,MB,BS,8253.9635828535,5189.04592668316,2780.14985561922,2570
126,MB,BS,8243.83290414168,5189.41139127006,2721.40031513722,2517.16179479664
127,MB,BS,8248.60498907918,5189.23923813996,2749.07445279317,2542.05138120522
130,MB,BS,8239.63635907225,5189.56278177941,2697.06383172343,2495.27403033081
131,MB,BS,8231.25068122215,5189.86529539952,2648.43385002749,2451.53716139865
132,MB,BS,8230.9112710009,5189.87753963506,2646.4655520387,2449.76691209661
133,MB,BS,8226.33813165132,5190.04251579616,2619.94513391166,2425.9149588119
134,MB,BS,8224.98537510233,5190.09131653572,2612.10026705744,2418.85943665401
135,MB,BS,8223.08338753979,5190.15993080319,2601.07031551321,2408.93931067011
139,MB,BS,8220.28191628881,5190.26099397601,2584.82410404501,2394.32778097489
140,MB,BS,8219.12484588667,5190.30273533101,2578.11405466288,2388.29289179501
141,MB,BS,8218.38406842825,5190.32945890359,2573.81815934135,2384.42924628104
143,PPT,PRT,8214.45271900657,5190.47128247072,2551.01959089712,2363.92465291885
144,PPT,PRT,8212.10014122713,5190.55615179594,2537.37658953252,2351.6544002534
156,PPT,PRT,8202.96113083305,5190.88584191379,2484.37790342412,2303.98840271319
158,PPT,PRT,8194.16338925439,5191.20322074724,2433.35829361041,2258.10234827574
159,PPT,PRT,8194.90555861631,5191.17644696169,2437.66226081862,2261.97325348913
160,PPT,PRT,8199.77895597103,5191.00063898262,2465.92392652927,2287.39125131442
162,PPT,PRT,8197.36288813578,5191.08779871381,2451.9127354599,2274.78985591978
166,PPT,PRT,8187.12687326789,5191.4570633062,2392.55233257258,2221.40225283418
167,PPT,PRT,8183.54091118121,5191.58642701321,2371.75672442319,2202.69908338449
168,PPT,PRT,8184.15069414966,5191.56442907141,2375.29296026775,2205.87950579579
170,PPT,PRT,8181.94407055583,5191.64403309431,2362.49637221655,2194.37050096265
171,PPT,PRT,8180.96045659414,5191.67951700219,2356.79222643273,2189.24030210556
173,PPT,PRT,8181.10611360987,5191.67426242028,2357.63691640719,2190
175,PPT,PRT,8175.76494645451,5191.86694521119,2326.66257352839,2162.14227257538
176,PPT,PRT,8178.14831682631,5191.78096504212,2340.48414640862,2174.57312902272
177,PPT,PRT,8176.36646562792,5191.84524538608,2330.15088621053,2165.27959381739
178,PPT,PRT,8179.13095497612,5191.74551633669,2346.18263329225,2179.69823837397
179,PPT,PRT,8176.70238284389,5191.83312716083,2332.09892766355,2167.03162478129
180,PPT,PRT,8172.98205860723,5191.96733798707,2310.52413040023,2147.62766764958
181,PPT,PRT,8172.0266727102,5192.00180356654,2304.98368399676,2142.64469686236
182,PPT,PRT,8167.88642351429,5192.15116320029,2280.97366999273,2121.05055269592
183,PPT,PRT,8163.66940541316,5192.30329227496,2256.51845996261,2099.05600779801
184,PPT,PRT,8160.62432555344,5192.41314363682,2238.85952046028,2083.17389771779
185,MB,BS,8158.73943938886,5192.48114097077,2227.92874285102,2073.34296686093
191,RSPv1,RSPv,8121.30147235646,5193.83171693364,2010.81956168951,1878.07915081015
192,RSPv1,RSPv,8119.5794504635,5193.89383893332,2000.83326187791,1869.09766509404
195,RSPv1,RSPv,8112.70060088354,5194.14199367118,1960.94163532815,1833.21990448112
197,RSPv1,RSPv,8116.25524385653,5194.01375980229,1981.55561857459,1851.75972399115
