cluster_id,cluster_region,cluster_parent,xpos,ypos,zpos,depth
0,Eth,LAT,7854.01396049664,6979.01799821733,3656.88617349459,3749.58076976366
3,Eth,LAT,7853.66486652956,6979.41174792705,3664.81107826497,3758.02761699693
4,Eth,LAT,7854.49567228254,6978.47466635327,3645.95066503541,3737.92503735436
5,Eth,LAT,7855.44462607556,6977.40432336319,3624.40813164762,3714.96369033296
7,Eth,LAT,7854.40991757176,6978.5713907188,3647.89741284731,3740
8,Eth,LAT,7854.44079555792,6978.53656285228,3647.19644083711,3739.25286124484
10,Eth,LAT,7855.23472756319,6977.64107187824,3629.17311150654,3720.04249671664
11,Eth,LAT,7855.2364838809,6977.63909089416,3629.13324072124,3720
12,Eth,LAT,7856.49640246914,6976.21800481084,3600.53138628698,3689.51439771273
13,Eth,LAT,7856.06305019005,6976.70679106952,3610.36906859517,3700
14,Eth,LAT,7856.64644047057,6976.04877410197,3597.12532091364,3685.88400533468
18,Eth,LAT,7857.15962616163,6975.46994222303,3585.47531227766,3673.4667150245
19,TH,IB,7858.85669098612,6973.55579060475,3546.94964758093,3632.40371001912
21,TH,IB,7859.67682179088,6972.63074950762,3528.33157010037,3612.55942660979
22,TH,IB,7861.21519628481,6970.8955877244,3493.40839033964,3575.33616994161
23,TH,IB,7861.05453212831,6971.07680387521,3497.05568379182,3579.22367793043
24,TH,IB,7861.18600332053,6970.92851502277,3494.07111007626,3576.04253708871
26,TH,IB,7861.68441647905,6970.36634536361,3482.75645789069,3563.98269015323
27,TH,IB,7861.84788201535,6970.18196948337,3479.04556933163,3560.02739861772
29,TH,IB,7863.48717283584,6968.33298226049,3441.83145259364,3520.36232148245
30,TH,IB,7863.10882874585,6968.75972373887,3450.4203746787,3529.51691890073
31,TH,IB,7862.67558066321,6969.2483924724,3460.25569158662,3540
35,TH,IB,7862.77214950485,6969.13947064347,3458.0634483916,3537.66337339021
40,TH,IB,7862.93753934136,6968.9529243085,3454.30887561754,3533.66152055191
41,TH,IB,7863.353989912,6968.48320180751,3444.85488493,3523.58488021411
43,TH,IB,7864.53162397406,6967.15492600265,3418.12100042782,3495.09027429965
44,TH,IB,7864.84768230873,6966.79843780959,3410.9460491529,3487.44277327833
45,APN,PRT,7866.81514611067,6964.57929805367,3366.28196228792,3439.83706324231
46,APN,PRT,7867.91243979041,6963.34163969053,3341.3719130255,3413.28641225162
47,APN,PRT,7867.63497851809,6963.65459352456,3347.6706588302,3420
48,APN,PRT,7867.40429486203,6963.91478599758,3352.907489537,3425.58173381869
49,APN,PRT,7868.85821817179,6962.2748783075,3319.90146577271,3390.40189903298
50,APN,PRT,7868.46154482724,6962.72229369992,3328.90648670414,3400
51,APN,PRT,7869.07192792443,6962.03383102223,3315.04996560969,3385.23087402807
52,APN,PRT,7870.33535940885,6960.60878267665,3286.36836368523,3354.66027199803
53,APN,PRT,7870.71031512623,6960.18586300802,3277.85636223694,3345.5876612896
54,APN,PRT,7870.94124375467,6959.925394226,3272.61397032593,3340
55,APN,PRT,7871.63456364421,6959.14338556646,3256.87467197584,3323.22409510599
